timestamp,actor,type,chat,message
"Thu, 16 May 2019 18:58:00 GMT","Orin",says,ic,"Slowly."
"Thu, 16 May 2019 18:58:00 GMT","",says,ic,"We're being followed."
"Thu, 16 May 2019 19:48:00 GMT","Orin",rolls,ooc,"Shortbow: 16"
"Thu, 16 May 2019 19:48:00 GMT","",says,ic,"COMMONWEALTH TRAITOR!"
"Thu, 16 May 2019 19:48:00 GMT","Orin",does,ic,"whispers:"
"Thu, 16 May 2019 20:39:00 GMT","Quinn",does,ic,"mutters 'ye ain't coming closer guv'nor'"
"Thu, 04 Jul 2019 19:35:00 GMT","Chris",says,ooc,"Im assumin its pitch black now."
"Thu, 04 Jul 2019 19:35:00 GMT","Ric",says,ooc,"Middle of the night."
"Thu, 04 Jul 2019 19:38:00 GMT","Ric",says,ooc,"Everyone can take the benefits of a short rest."
"Thu, 04 Jul 2019 19:38:00 GMT","Ric",says,ooc,"I guess you probably don't need it."
"Thu, 04 Jul 2019 19:38:00 GMT","Mark",says,ooc,"No I don't think so, but still, good to have 😃"
"Thu, 04 Jul 2019 19:45:00 GMT","Chris",says,ooc,"All good thanks 😃"
"Thu, 04 Jul 2019 19:45:00 GMT","Chris",says,ooc,"Btw, am i assumin that perception check i did at start of the walk is for this whole walk?"
"Thu, 04 Jul 2019 19:46:00 GMT","Chris",says,ooc,"Or new day new check?"
"Thu, 04 Jul 2019 19:46:00 GMT","Ric",says,ooc,"You can roll for today if you want to spend your efforts looking."
"Thu, 04 Jul 2019 19:46:00 GMT","Ric",says,ooc,"But shall we take a break here?"
"Thu, 04 Jul 2019 19:46:00 GMT","Chris",says,ooc,"Cos everyday Biron is looking out for creatures and/or people. anything that might be a threat."
"Thu, 04 Jul 2019 19:46:00 GMT","Chris",says,ooc,"Yea sure."
"Thu, 04 Jul 2019 19:46:00 GMT","Ric",says,ooc,"@here break here?"
"Thu, 04 Jul 2019 19:47:00 GMT","Mark",says,ooc,"Sounds good.. coffeeoclock!"
"Thu, 04 Jul 2019 19:47:00 GMT","Chris",says,ooc,"Awesome."
"Thu, 04 Jul 2019 19:47:00 GMT","Morgan",says,ooc,"Okie dokie."
"Thu, 04 Jul 2019 19:47:00 GMT","Ric",says,ooc,"Meet back here at 9.05pm?"
"Thu, 04 Jul 2019 19:47:00 GMT","Ric",says,ooc,"Ping me  as always."
"Thu, 04 Jul 2019 20:33:00 GMT","Ba'Raknul",says,ic,"Er, nothing."
"Thu, 04 Jul 2019 20:33:00 GMT","Biron",does,ic,"pauses then sits back to relaxin and preparing food."
"Thu, 04 Jul 2019 20:33:00 GMT","Orin",does,ic,"gives Biron a confused look, then turns to Quinn."
"Thu, 04 Jul 2019 20:35:00 GMT","Quinn",says,ic,"Em sighs ''Last time I was this close to the ocean I was fishing me'self out of it. Pirates you see... damn cut throats and scallywags every one of em.''"
"Thu, 04 Jul 2019 20:35:00 GMT","Orin",says,ic,"I guess... I'm glad for you?"
"Thu, 04 Jul 2019 20:35:00 GMT","Quinn",does,ic,"sighs."
