timestamp,actor,type,chat,message
"Thu, 27 Jun 2019 18:52:00 GMT",Biron,does,ic,"spends his first day of leave in silence and alone by his tent, coming to terms with what has gone on in the previous few days. Traitors in camp, flogging, walls collapsing, and pigs using swords? Images race through his mind of what he has seen."
"Thu, 27 Jun 2019 18:52:00 GMT",Biron,does,ic,"eventually gets up, takes his weapons and heads over to the training courtyard. Looking for people to spar and train with."
"Thu, 27 Jun 2019 18:58:00 GMT",GM,says,ic,"The training yard has a handful of veterans, exercising, and trading blows. A few younger and greener mercenaries watch or sometimes join in. All too often they leave with bruised arms and legs, as well as bruised pride."
"Thu, 27 Jun 2019 18:58:00 GMT",Biron,does,ic,watches the veterans and the new recruits. He walks over to a group of the younger ones who look a bit beaten up.
"Thu, 27 Jun 2019 19:00:00 GMT",Biron,says,ic,You. Your stance is wrong.
"Thu, 27 Jun 2019 19:00:00 GMT",The Mercenary,does,ic,"looks up at Biron, a little of their surliness lost by the opportunity for training from an officer."
"Thu, 27 Jun 2019 19:02:00 GMT",Biron,says,ic,"When fighting you shouldn't be closing yourself up, you're to easy to be pushed off balance."
"Thu, 27 Jun 2019 19:02:00 GMT",Biron,does,ic,picks the kid up by the scruff and positions him.
"Thu, 27 Jun 2019 19:02:00 GMT",Ric,says,ooc,"Chris, make a ""martial weapon"" check (Strength with proficiency bonus)."
"Thu, 27 Jun 2019 19:03:00 GMT",Chris,rolls,ooc,7 for Biron’s Strength check.
"Thu, 27 Jun 2019 19:03:00 GMT",Chris,says,ooc,Bollocks.
"Thu, 27 Jun 2019 19:05:00 GMT",Morgan,says,ooc,"Aw, and with +5!"
"Thu, 27 Jun 2019 19:06:00 GMT",Ric,says,ooc,"You don't want to know what would've happened if you;d rolled iunder 5, so that wasn't a totally bad roll."
"Thu, 27 Jun 2019 19:06:00 GMT",Morgan,says,ooc,"Well he can't roll under 5, can he? it's all ways 6 or higher 😛"
"Thu, 27 Jun 2019 19:07:00 GMT",Chris,says,ooc,Roll a nat 1 woulda screwed me haha.
"Thu, 27 Jun 2019 19:07:00 GMT",Ric,says,ooc,"Ha true, didn't think about that!"
"Thu, 27 Jun 2019 19:04:00 GMT",GM,says,ic,"Biron whiles away a few days attempting to spar and train some of the younger mercenaries. It's good, honest work but they're either too workshy or flighty, and it's a week wasted. Their skills do not improve and no-one seems to recognise what you are doing."
